Attore,è un'entità che interagisce con il sistema svolgendo delle attività, e puo' essere una persona o un sistema esterno. Le interazioni sono definite dal ruolo. 
Capitolato,si tratta di un documento tecnico, solitamente allegato a un contratto di appalto, a cui si fa riferimento per definire le specifiche tecniche delle opere che andranno a eseguirsi per effetto del contratto stesso, di cui in genere è parte integrante. In questo specifico caso fa riferimento agli accordi presi tra due soggetti privati: il gruppo SWEnergy e l’azienda Imola Informatica. Al suo interno si precisano diritti e doveri delle due parti, oltre che alle particolarità relative all’esecuzione dei lavori.
Caso d'uso,è un insieme di scenari, cioè sequenze di passi che descrivono interazioni tra gli attori ed il sistema rappresentanti delle possibilità.
Cliente,è l'Utente base.
Discord,è una piattaforma statunitense di VoIP, messaggistica istantanea e distribuzione digitale inizialmente progettata per la comunicazione tra comunità di videogiocatori. Gli utenti comunicano con chiamate vocali, videochiamate, messaggi di testo, media e file in chat private o come membri di un server Discord. Quest’ultimi sono una raccolta di canali di tipo vocale e/o testuale. Ulteriori informazioni sono disponibili su: discord.com.
Feedback,sono le opinioni date da un utente riguardo a come è stata l'esperienza.
Git,è un software per il controllo di versione distribuito utilizzabile da interfaccia a riga di comando. Nacque per essere uno strumento volto a facilitare lo sviluppo del kernel Linux ed è diventato uno degli strumenti di controllo versione più diffusi. Viene distribuito con licenza GNU GPL v2 (licenza libera). Ulteriori informazioni sono disponibili su: git-scm.com.
GitHub,è un servizio di hosting per progetti software, di proprietà della società GitHub Inc. Il nome deriva dal fatto che "GitHub" è una implementazione dello strumento di controllo versione distribuito Git. Viene utilizzato da sviluppatori che caricano il codice sorgente di programmi e lo rendono scaricabile e migliorabile da altre persone. Questi ultimi possono interagire con gli sviluppatori tramite un sistema per inviare segnalazione di bug o funzionalità (issue tracker), un sistema per copiare il software in una versione modificabile (fork), un sistema per proporre modifiche agli sviluppatori originali (pull request) e un sistema di discussione legato al codice del repository. Viene incluso anche un hosting per pagine web statiche, che possono essere modificate sempre tramite un repository git. In questo specifico ambito viene sfruttata la possibilità di sviluppare software collaborativamente, utilizzando le funzionalità fornite da Git. Ulteriori informazioni sono disponibili su: github.com.
Issue,è uno strumento disponibile in GitHub, viene utilizzato per tenere in ordine e assegnare le attività da completare per il raggiungimento di un obiettivo. Viene caratterizzata da un progetto a cui fa riferimento, un insieme di etichette, le persone a cui è stata assegnata ed una descrizione esplicativa dell’attività da svolgere.
Login,si tratta della procedura con cui un utente viene identificato e entra in un sistema informatico o in una applicazione informatica. Il termine significa letteralmente "entrata nel log", ovvero il registro, di un determinato sistema informativo.
Ordinazione,è insieme di prodotti che un Utente ristoratore riceve da un Utente base.
Ordine,è insieme di prodotti che un Utente base ha ordinato. Instanza specifica in cui un cliente seleziona prodotti da acquistare e completa il processo di transazione.
Partecipanti,è insieme di clienti che hanno partecipato allo stesso ordine.
POC, è una prova di concetto (Proof Of Concept) è la realizzazione di una bozza del progetto al fine di dimostrarne la fattibilità.
Proof of Concept,è una prova di concetto (POC) è la realizzazione di una bozza del progetto al fine di dimostrarne la fattibilità.
Repository,è l'ambiente di un sistema informatico in cui vengono gestiti i metadati attraverso tabelle relazionali. L’insieme di tabelle, regole e motori di calcolo tramite cui si gestiscono i metadati prende il nome di metabase.
Stato,è la condizione corrente in cui si trova un ordine nell’ambito di un processo di acquisto.
Telegram,si tratta di un servizio di messaggistica istantanea e broadcasting basato su cloud ed erogato senza fini di lucro dalla società Telegram LLC.
UC,indica un caso d’uso generale che coinvolge più attori principali.
UCA,indica un caso d’uso strettamente legato all’Utente autenticato.
UCB,indica un caso d’uso strettamente legato all’Utente base.
UCE,indica un caso d’uso strettamente legato ad un errore.
UCG,indica un caso d’uso strettamente legato all’Utente generico.
UCR,indica un caso d’uso strettamente legato all’Utente ristoratore.
UML,acronimo di Unified Modeling Language, è un linguaggio di modellazione visuale standardizzato utilizzato per rappresentare e documentare la progettazione di un sistema software. Fornisce un insieme di elementi di notazione grafica che possono essere utilizzati per creare modelli visivi della struttura, del comportamento e delle relazioni di un sistema.
Utente autenticato,si tratta di un Utente base o di un Utente ristoratore.
Utente base,si tratta di un attore autenticato, rappresenta il cliente di un ristorante.
Utente generico,è un utente che non ha effettuato l’accesso al sistema. Può essere un utente non registrato o un utente registrato che non ha ancora effettuato l’accesso.
Utente ristoratore,si tratta di un attore autenticato, rappresenta l'amministratore del ristorante.
Webapp,è un'applicazione web caricata da un web server ed eseguita in un browser.
